name,1,2,3,4,5,6,7
A001AA01,A,0,0,1,A,A,01
A001AA199,A,0,0,1,A,A,199
A001AA36,A,0,0,1,A,A,36
A001AA50,A,0,0,1,A,A,50
A001AA54,A,0,0,1,A,A,54
A001AA777,A,0,0,1,A,A,777
A001AA97,A,0,0,1,A,A,97
A001AH199,A,0,0,1,A,H,199
A001AK54,A,0,0,1,A,K,54
A001AO164,A,0,0,1,A,O,164
A001AO777,A,0,0,1,A,O,777
A001AY123,A,0,0,1,A,Y,123
A001AY64,A,0,0,1,A,Y,64
A001BA178,A,0,0,1,B,A,178
A001BB154,A,0,0,1,B,B,154
A001BK161,A,0,0,1,B,K,161
A001BY161,A,0,0,1,B,Y,161
A001CH69,A,0,0,1,C,H,69
A001CO92,A,0,0,1,C,O,92
A001CP190,A,0,0,1,C,P,190
A001EE32,A,0,0,1,E,E,32
A001EH62,A,0,0,1,E,H,62
A001EO147,A,0,0,1,E,O,147
A001HH177,A,0,0,1,H,H,177
A001HH52,A,0,0,1,H,H,52
A001HK52,A,0,0,1,H,K,52
A001HK76,A,0,0,1,H,K,76
A001HP71,A,0,0,1,H,P,71
A001HX34,A,0,0,1,H,X,34
A001HX54,A,0,0,1,H,X,54
A001KB178,A,0,0,1,K,B,178
A001KC67,A,0,0,1,K,C,67
A001KE125,A,0,0,1,K,E,125
A001KE50,A,0,0,1,K,E,50
A001KK67,A,0,0,1,K,K,67
A001KT92,A,0,0,1,K,T,92
A001OA92,A,0,0,1,O,A,92
A001OK90,A,0,0,1,O,K,90
A001OP62,A,0,0,1,O,P,62
A001OT92,A,0,0,1,O,T,92
A001PA72,A,0,0,1,P,A,72
A001PA92,A,0,0,1,P,A,92
A001PY152,A,0,0,1,P,Y,152
A001TB199,A,0,0,1,T,B,199
A001TC90,A,0,0,1,T,C,90
A001TE161,A,0,0,1,T,E,161
A001TK92,A,0,0,1,T,K,92
A001TP152,A,0,0,1,T,P,152
A001TT72,A,0,0,1,T,T,72
A001XO34,A,0,0,1,X,O,34
A001XT72,A,0,0,1,X,T,72
A001YA01,A,0,0,1,Y,A,01
A001YH123,A,0,0,1,Y,H,123
A001YH77,A,0,0,1,Y,H,77
A001YY97,A,0,0,1,Y,Y,97
A002AA60,A,0,0,2,A,A,60
A002AE67,A,0,0,2,A,E,67
A002AK92,A,0,0,2,A,K,92
A002BB777,A,0,0,2,B,B,777
A002BK82,A,0,0,2,B,K,82
A002BX54,A,0,0,2,B,X,54
A002CE177,A,0,0,2,C,E,177
A002EC15,A,0,0,2,E,C,15
A002EE763,A,0,0,2,E,E,763
A002EO177,A,0,0,2,E,O,177
A002EY70,A,0,0,2,E,Y,70
A002HO199,A,0,0,2,H,O,199
A002KY154,A,0,0,2,K,Y,154
A002OA152,A,0,0,2,O,A,152
A002OH190,A,0,0,2,O,H,190
A002PC150,A,0,0,2,P,C,150
A002PC154,A,0,0,2,P,C,154
A002PP197,A,0,0,2,P,P,197
A002TC716,A,0,0,2,T,C,716
A002XB34,A,0,0,2,X,B,34
A002XP178,A,0,0,2,X,P,178
A002XX86,A,0,0,2,X,X,86
A002YE164,A,0,0,2,Y,E,164
A002YK763,A,0,0,2,Y,K,763
A002YX763,A,0,0,2,Y,X,763
A003AA71,A,0,0,3,A,A,71
A003AK763,A,0,0,3,A,K,763
A003AX92,A,0,0,3,A,X,92
A003BC36,A,0,0,3,B,C,36
A003CB35,A,0,0,3,C,B,35
A003CT12,A,0,0,3,C,T,12
A003EE198,A,0,0,3,E,E,198
A003EK76,A,0,0,3,E,K,76
A003KK134,A,0,0,3,K,K,134
A003KP67,A,0,0,3,K,P,67
A003OA92,A,0,0,3,O,A,92
A003OC27,A,0,0,3,O,C,27
A003OH27,A,0,0,3,O,H,27
A003OH77,A,0,0,3,O,H,77
A003TA152,A,0,0,3,T,A,152
A003TA750,A,0,0,3,T,A,750
A003TX54,A,0,0,3,T,X,54
A003XK26,A,0,0,3,X,K,26
A003XK777,A,0,0,3,X,K,777
A003XT152,A,0,0,3,X,T,152
A003XY89,A,0,0,3,X,Y,89
A003YH23,A,0,0,3,Y,H,23
A003YX61,A,0,0,3,Y,X,61
A004AA152,A,0,0,4,A,A,152
A004AA97,A,0,0,4,A,A,97
A004AC198,A,0,0,4,A,C,198
A004BA199,A,0,0,4,B,A,199
A004BC147,A,0,0,4,B,C,147
A004BY27,A,0,0,4,B,Y,27
A004CY92,A,0,0,4,C,Y,92
A004EO147,A,0,0,4,E,O,147
A004EY763,A,0,0,4,E,Y,763
A004HB35,A,0,0,4,H,B,35
A004KK92,A,0,0,4,K,K,92
A004KO777,A,0,0,4,K,O,777
A004MA37,A,0,0,4,M,A,37
A004PB51,A,0,0,4,P,B,51
A004TC35,A,0,0,4,T,C,35
A004TP164,A,0,0,4,T,P,164
A004YE09,A,0,0,4,Y,E,09
A004YX750,A,0,0,4,Y,X,750
A005AA52,A,0,0,5,A,A,52
A005AA98,A,0,0,5,A,A,98
A005AH50,A,0,0,5,A,H,50
A005AX142,A,0,0,5,A,X,142
A005BK122,A,0,0,5,B,K,122
A005CH174,A,0,0,5,C,H,174
A005EA154,A,0,0,5,E,A,154
A005HE82,A,0,0,5,H,E,82
A005HK82,A,0,0,5,H,K,82
A005KX152,A,0,0,5,K,X,152
A005PB92,A,0,0,5,P,B,92
A005PO34,A,0,0,5,P,O,34
A005PO77,A,0,0,5,P,O,77
A005PP198,A,0,0,5,P,P,198
A005PY750,A,0,0,5,P,Y,750
A005YE196,A,0,0,5,Y,E,196
A005YO199,A,0,0,5,Y,O,199
A006EE142,A,0,0,6,E,E,142
A006EO196,A,0,0,6,E,O,196
A006EY164,A,0,0,6,E,Y,164
A006HA54,A,0,0,6,H,A,54
A006XC174,A,0,0,6,X,C,174
A007AT37,A,0,0,7,A,T,37
A007BA44,A,0,0,7,B,A,44
A007BB71,A,0,0,7,B,B,71
A007BC30,A,0,0,7,B,C,30
A007BK51,A,0,0,7,B,K,51
A007BX178,A,0,0,7,B,X,178
A007CH35,A,0,0,7,C,H,35
A007CX35,A,0,0,7,C,X,35
A007CY164,A,0,0,7,C,Y,164
A007EC37,A,0,0,7,E,C,37
A007EE178,A,0,0,7,E,E,178
A007EE32,A,0,0,7,E,E,32
A007EE67,A,0,0,7,E,E,67
A007EH122,A,0,0,7,E,H,122
A007EX90,A,0,0,7,E,X,90
A007HE125,A,0,0,7,H,E,125
A007HH198,A,0,0,7,H,H,198
A007HH57,A,0,0,7,H,H,57
A007HH98,A,0,0,7,H,H,98
A007KC163,A,0,0,7,K,C,163
A007KT27,A,0,0,7,K,T,27
A007PE76,A,0,0,7,P,E,76
A007PT39,A,0,0,7,P,T,39
A007PT82,A,0,0,7,P,T,82
A007PT98,A,0,0,7,P,T,98
A007TB86,A,0,0,7,T,B,86
A007TE77,A,0,0,7,T,E,77
A007TP35,A,0,0,7,T,P,35
A007XA150,A,0,0,7,X,A,150
A007XC178,A,0,0,7,X,C,178
A007XT199,A,0,0,7,X,T,199
